galaxy,chi2,N,chi2_red
UGC06973,966.6775735652184,9,138.09679622360264
UGC02455,766.3362844744158,8,127.7227140790693
NGC4389,487.19576781843597,6,121.79894195460899
NGC4217,1150.8876001005963,19,67.69927059415272
UGC03580,2451.4274831466223,47,54.47616629214716
IC4202,1482.4489958550673,32,49.41496652850224
F571-8,501.5229568622686,13,45.592996078388055
NGC0891,705.0499916804782,18,44.06562448002989
NGC2903,1367.904390559211,34,42.74701220497534
NGC4088,396.76513486899614,12,39.676513486899616
NGC4085,194.90703216486835,7,38.98140643297367
UGC09037,615.264247537039,22,30.763212376851946
NGC5055,785.4203410918502,28,30.208474657378854
NGC7331,1026.9331492351112,36,30.203916153973857
NGC3949,141.09977730757868,7,28.219955461515735
NGC6789,52.21615847670685,4,26.108079238353426
NGC0801,263.7151907212952,13,23.974108247390472
NGC3521,802.2167022415398,41,20.569659031834355
UGC11455,656.7174214344828,36,19.31521827748479
UGC02259,104.31758320763652,8,17.38626386793942
UGC00634,31.478242689131424,4,15.739121344565712
UGC05764,123.18667679394814,10,15.398334599243517
UGC03546,427.9672569064108,30,15.284544889514672
NGC4051,76.3759603406305,7,15.275192068126099
UGC04325,85.30963447186595,8,14.218272411977658
NGC6195,297.2272404416764,23,14.153678116270303
NGC3726,140.7062665128777,12,14.070626651287771
NGC3877,152.11282835337988,13,13.828438941216353
NGC2955,300.40891934046607,24,13.654950879112095
NGC4157,204.56824372151158,17,13.637882914767438
UGC02916,536.2867780550345,43,13.080165318415474
NGC5005,198.16663040855528,18,12.385414400534705
NGC3893,94.88621162508252,10,11.860776453135315
NGC6946,619.483432516416,58,11.062204152078857
NGC5371,186.94412325900802,19,10.996713132882824
UGC00731,94.26534160713257,12,9.426534160713256
NGC5033,180.9095670099613,22,9.045478350498065
UGC07399,70.98415365954025,10,8.873019207442532
ESO563-G021,246.61688857774953,30,8.807746020633912
UGC11557,87.02726014290523,12,8.702726014290523
CamB,55.891537767668346,9,7.984505395381192
UGC05253,555.5491655470968,73,7.824636134466152
UGC02953,851.3580190237277,115,7.534141761271926
UGC06787,482.20684714073127,71,6.988505031025091
NGC5585,144.66423503937318,24,6.575647047244235
UGC07232,13.045322305834986,4,6.522661152917493
PGC51017,25.358937049617982,6,6.3397342624044954
UGC09133,398.45105883679304,68,6.037137255102925
