galaxy,chi2,chi2_red,N,rho0,r_core
UGC06973,966.6775735652184,138.09679622360264,9,4251544.72481877,1.868843553643812
UGC02455,766.3362844744158,127.7227140790693,8,2045677.417140185,0.9631900774960348
NGC4389,487.19576781843597,121.79894195460899,6,3236990.355972052,1.5655693071111207
NGC4217,1150.8876001005963,67.69927059415272,19,3662437.600056932,1.7234433430411904
UGC03580,2451.4274831466223,54.47616629214716,47,2478942.2087057675,17.90071908259769
IC4202,1482.4489958550673,49.41496652850224,32,3224418.5047211847,14.533185261821444
F571-8,501.5229568622686,45.592996078388055,13,8183184.951074181,13.227623959642372
NGC0891,705.0499916804782,44.06562448002989,18,4359652.898694024,1.5328055221871515
NGC2903,1367.904390559211,42.74701220497534,34,3023288.151698785,18.420956672492174
NGC4088,396.76513486899614,39.676513486899616,12,4325300.028234119,1.2856175514515362
NGC4085,194.90703216486835,38.98140643297367,7,3564012.188718972,2.116839233734979
UGC09037,615.264247537039,30.763212376851946,22,4094038.106062104,1.6055296053087862
NGC5055,785.4203410918502,30.208474657378854,28,1129175.7014929475,22.90868415892164
NGC7331,1026.9331492351112,30.203916153973857,36,1065004.3064906404,30.363356042988983
NGC3949,141.09977730757868,28.219955461515735,7,4464377.645694756,2.65060096581836
NGC6789,52.21615847670685,26.108079238353426,4,10752952.160269016,5.914772239420516
NGC0801,263.7151907212952,23.974108247390472,13,5386029.782265348,5.13679478243915
NGC3521,802.2167022415398,20.569659031834355,41,3091228.3951501725,18.645229863915294
UGC11455,656.7174214344828,19.31521827748479,36,3749267.470376842,1.481282247514434
UGC02259,104.31758320763652,17.38626386793942,8,54688224.36438954,1.8467812928074727
UGC00634,31.478242689131424,15.739121344565712,4,12620481.7821554,5.23278213497546
UGC05764,123.18667679394814,15.398334599243517,10,64295358.592769966,1.209856275796294
UGC03546,427.9672569064108,15.284544889514672,30,2835544.9712878265,15.645745675314004
NGC4051,76.3759603406305,15.275192068126099,7,4659422.943195776,1.6925345101962934
UGC04325,85.30963447186595,14.218272411977658,8,76151560.8709916,1.6846577931782938
NGC6195,297.2272404416764,14.153678116270303,23,4877304.977010764,1.3693448429029176
NGC3726,140.7062665128777,14.070626651287771,12,1425980.696848537,19.545732647315194
NGC3877,152.11282835337988,13.828438941216353,13,4482112.786823654,1.5714308137090678
NGC2955,300.40891934046607,13.654950879112095,24,4841808.152941152,1.7055893075414108
NGC4157,204.56824372151158,13.637882914767438,17,1752237.8137502044,16.075378281048856
UGC02916,536.2867780550345,13.080165318415474,43,2062520.4276954532,14.59992843955557
NGC5005,198.16663040855528,12.385414400534705,18,5252677.849281723,2.9078896570726243
