galaxy,file,M_b,R_scale,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
CamB,CamB_rotmod.dat,112394767.82493946,0.9,5794270.232004947,5.869657735810875,98.7962717750816,14.113753110725943,0.12641881046329217,0.05000005760757192,47.95888205613367,6.851268865161953,9,qfst_final_plots\CamB_final_compare.png
D512-2,D512-2_rotmod.dat,417340446.7705232,1.92,6415396.902454658,5.869657735810936,11.471791167291919,5.735895583645959,1089649.318707176,12.638268426982208,0.3919319303659716,0.1959659651829858,4,qfst_final_plots\D512-2_final_compare.png
D564-8,D564-8_rotmod.dat,77150562.58154926,1.53,5627490.147621362,5.869657735810917,10.381994897820228,2.595498724455057,30703.561103957243,199.99999992217116,3.312106032464295,0.8280265081160737,6,qfst_final_plots\D564-8_final_compare.png
D631-7,D631-7_rotmod.dat,658709784.2447227,1.8,6646737.427079802,5.8696577358109305,23.801045599099638,1.7000746856499742,71009.60494182323,199.99999999999977,104.87110973554789,7.490793552539135,16,qfst_final_plots\D631-7_final_compare.png
DDO064,DDO064_rotmod.dat,545773143.871749,1.88,6550405.624218132,5.869657735810934,48.2215021568629,4.018458513071908,108435.70858572828,199.99999999999707,6.986075484311344,0.5821729570259454,14,qfst_final_plots\DDO064_final_compare.png
DDO154,DDO154_rotmod.dat,390632815.8657719,2.96,6382547.945904542,5.8696577358109705,72.00419345912249,7.200419345912249,328573.6834946218,49.086091635974114,23.512427834198018,2.351242783419802,12,qfst_final_plots\DDO154_final_compare.png
DDO161,DDO161_rotmod.dat,2978338096.2107987,5.34,7472617.565352955,5.869657735811019,555.8063849371083,19.165737411624423,51992.88473955631,199.99999999999974,46.636812797587886,1.6081659585375134,31,qfst_final_plots\DDO161_final_compare.png
DDO168,DDO168_rotmod.dat,752060069.2634842,2.47,6715468.723472399,5.869657735810956,95.61282606441743,11.95160325805218,98557.34131847578,199.9999999977024,40.10070093872298,5.0125876173403725,10,qfst_final_plots\DDO168_final_compare.png
DDO170,DDO170_rotmod.dat,2423360617.8879323,6.35,7353959.452050788,5.869657735811034,175.95189287648256,29.32531547941376,569100.7463673388,26.685738108818764,5.831987429116547,0.9719979048527579,8,qfst_final_plots\DDO170_final_compare.png
ESO079-G014,ESO079-G014_rotmod.dat,66171727387.72523,10.04,9506187.76799024,5.86965773581107,34.52149084060694,2.655499295431303,154655.85830326827,199.99999999850445,42.074336214569634,3.236487401120741,15,qfst_final_plots\ESO079-G014_final_compare.png
